"id","fqdn/ip","port","severity","finding","cve","cwe"
"winshock","emploi.lefigaro.fr/99.86.37.124","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","emploi.lefigaro.fr/99.86.37.124","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_442","emploi.lefigaro.fr/99.86.37.124","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_500","emploi.lefigaro.fr/99.86.37.124","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_60","emploi.lefigaro.fr/99.86.37.124","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","emploi.lefigaro.fr/99.86.37.124","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_81","emploi.lefigaro.fr/99.86.37.124","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_90","emploi.lefigaro.fr/99.86.37.124","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_X","emploi.lefigaro.fr/99.86.37.124","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-chrome_74_win10","emploi.lefigaro.fr/99.86.37.124","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-chrome_79_win10","emploi.lefigaro.fr/99.86.37.124","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-firefox_66_win81","emploi.lefigaro.fr/99.86.37.124","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-firefox_71_win10","emploi.lefigaro.fr/99.86.37.124","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
